STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,QPCP
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000101 00:15,999.99,0.00
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000101 01:15,-9999,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000101 08:30,999.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000101 09:15,999.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000201 00:15,0.00,0.00
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000201 00:30,999.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000201 01:15,-9999,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000201 08:30,999.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000201 08:45,0.00,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000201 09:00,0.00,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000201 09:15,999.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000301 00:15,0.00,0.00
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000301 00:30,999.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000301 08:30,999.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000301 08:45,0.00,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000301 09:15,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000401 00:15,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000401 08:45,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000401 09:15,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000501 00:15,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000601 00:15,999.99,0.00
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000601 19:00,999.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000601 19:30,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000701 00:15,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000701 09:00,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000701 09:15,0.00,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000701 09:30,0.00,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000701 10:45,0.90,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000702 23:45,0.91,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000703 12:00,0.92,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000703 19:15,0.93,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000716 18:45,0.94,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000722 15:30,0.95,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000722 22:15,0.96,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000801 00:15,0.00,0.00
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000801 08:45,0.96,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000801 11:45,0.96,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000817 12:45,0.97,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000817 14:15,0.98,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000817 20:45,0.99,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000818 12:45,-9999,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000818 14:15,-9999,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.54167,-121.83639,20000818 20:45,-9999,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000825 05:00,1.00,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000825 05:45,1.01,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000826 05:00,-9999,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000826 05:45,-9999,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000827 13:00,1.02,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000828 13:00,-9999,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000828 23:00,1.03,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000829 23:00,-9999,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000831 02:00,0.03,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000831 02:15,999.99,999.99
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000901 00:15,0.02,0.00
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000901 08:45,0.02,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000902 17:45,0.03,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000905 15:30,0.04,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000907 01:15,0.05,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000907 06:15,0.06,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000907 19:00,0.07,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000907 20:00,0.08,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000907 20:15,0.09,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000907 22:15,0.10,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000907 22:30,0.11,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000907 22:45,0.12,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000908 10:30,0.13,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000908 21:45,0.14,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000908 23:15,0.15,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000909 01:45,0.16,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000909 04:15,0.17,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000909 06:45,0.18,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000909 08:30,0.19,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000909 09:45,0.20,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000909 12:15,0.21,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000910 12:45,0.22,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000918 02:45,0.23,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000918 08:00,0.24,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000920 18:45,0.25,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000928 17:15,0.26,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000928 18:15,0.27,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000928 19:15,0.28,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000928 20:00,0.29,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000928 20:45,0.30,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000928 22:00,0.31,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000928 23:15,0.32,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000929 00:30,0.34,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000929 03:45,0.35,0.10
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000929 05:00,0.35,-9999
COOP:457773,SNOQUALMIE FALLS WA US,134.1,47.5425,-121.83639,20000929 09:30,0.36,0.10
